epoch,train_loss,val_absrel,val_rmse,val_delta1
1,0.071738,0.201143,0.087576,0.601475
2,0.053694,0.160836,0.087192,0.770597
3,0.048623,0.190931,0.104486,0.621937
4,0.046442,0.141768,0.081377,0.800189
5,0.043277,0.155993,0.077513,0.773629
6,0.042281,0.155930,0.079904,0.777627
7,0.040639,0.147378,0.075738,0.808376
8,0.038879,0.125381,0.074419,0.851859
9,0.038692,0.140571,0.078196,0.800305
10,0.036916,0.127145,0.071057,0.856794
11,0.036024,0.128620,0.072677,0.836020
12,0.035462,0.117145,0.071170,0.867227
13,0.034924,0.123457,0.072597,0.849723
14,0.034244,0.118150,0.068454,0.876651
15,0.033102,0.118727,0.066857,0.877869
16,0.032491,0.116178,0.071856,0.861949
17,0.032025,0.132319,0.077613,0.820269
18,0.031630,0.111362,0.074743,0.861185
19,0.030379,0.109145,0.068446,0.880898
20,0.030478,0.115760,0.070919,0.861807
21,0.029940,0.126403,0.071753,0.869219
22,0.029291,0.106725,0.066912,0.885409
23,0.028789,0.105743,0.065738,0.892333
24,0.028197,0.104958,0.067776,0.888149
25,0.027823,0.106549,0.068818,0.881972
26,0.027249,0.104765,0.067755,0.887477
27,0.027004,0.104637,0.068445,0.885326
28,0.026901,0.105419,0.069367,0.882424
29,0.026266,0.106123,0.066639,0.888148
30,0.026477,0.104108,0.066380,0.892903
31,0.025714,0.103514,0.067585,0.888522
32,0.025677,0.100561,0.066023,0.895437
33,0.025390,0.101077,0.065673,0.893963
34,0.025229,0.103092,0.065855,0.892637
35,0.025084,0.102945,0.066307,0.893416
36,0.025047,0.100748,0.065380,0.896427
37,0.024467,0.100865,0.065681,0.895609
38,0.024667,0.101816,0.066328,0.892710
39,0.024591,0.101311,0.066022,0.895024
40,0.024455,0.100917,0.065968,0.894607
