epoch,total_loss,seg_loss,depth_loss,w_seg,w_depth,sig_seg,sig_depth,val_miou,val_absrel,val_delta,combined_score
1,0.467410,0.627276,0.063763,1.1843,1.2120,0.7369,0.6885,0.794887,0.168600,0.733479,0.626287
2,0.074452,0.626275,0.053330,1.4717,1.7511,0.6440,0.4789,0.795841,0.162215,0.761388,0.633626
3,-0.251739,0.626964,0.050818,1.5783,2.5026,0.6279,0.3371,0.795370,0.161920,0.748124,0.633450
4,-0.554946,0.626456,0.048106,1.5945,3.5318,0.6258,0.2403,0.795361,0.151983,0.788483,0.643378
5,-0.826696,0.626156,0.046656,1.5975,4.9127,0.6260,0.1742,0.797366,0.152585,0.798628,0.644781
6,-1.062455,0.627012,0.045339,1.5951,6.7120,0.6269,0.1288,0.796421,0.145899,0.803748,0.650522
7,-1.260704,0.626684,0.044173,1.5962,8.9531,0.6277,0.0978,0.795343,0.146472,0.810139,0.648870
8,-1.414208,0.625828,0.043413,1.5975,11.6019,0.6267,0.0766,0.795485,0.140153,0.805818,0.655332
9,-1.516690,0.627100,0.042990,1.5942,14.5046,0.6249,0.0624,0.794742,0.139407,0.794436,0.655335
10,-1.597269,0.628217,0.041631,1.5931,17.4735,0.6290,0.0529,0.794654,0.134792,0.821835,0.659861
11,-1.640069,0.627297,0.041137,1.5936,20.1602,0.6269,0.0470,0.794571,0.140547,0.812733,0.654024
12,-1.666938,0.627675,0.040483,1.5937,22.2652,0.6295,0.0434,0.793268,0.151777,0.775793,0.641491
13,-1.687571,0.627712,0.039809,1.5924,23.6931,0.6271,0.0412,0.792388,0.142148,0.805516,0.650239
14,-1.690887,0.628037,0.039714,1.5926,24.5887,0.6282,0.0402,0.793530,0.133855,0.821626,0.659675
15,-1.721518,0.627706,0.038536,1.5931,25.2420,0.6280,0.0389,0.793835,0.133902,0.835837,0.659933
16,-1.703239,0.628576,0.039203,1.5908,25.6407,0.6293,0.0392,0.793061,0.129834,0.833518,0.663227
17,-1.729267,0.628070,0.038223,1.5928,25.8463,0.6295,0.0385,0.794008,0.139085,0.816989,0.654922
18,-1.725819,0.628337,0.038343,1.5908,26.0764,0.6270,0.0384,0.793856,0.126148,0.849155,0.667708
19,-1.747099,0.628531,0.037520,1.5913,26.3793,0.6287,0.0379,0.793172,0.139423,0.805296,0.653749
20,-1.750262,0.627860,0.037444,1.5928,26.6294,0.6302,0.0376,0.793455,0.126211,0.845646,0.667244
21,-1.754472,0.627968,0.037282,1.5919,26.6575,0.6274,0.0373,0.794151,0.129181,0.832047,0.664970
22,-1.752742,0.628776,0.037298,1.5907,26.7785,0.6281,0.0372,0.793812,0.126841,0.835171,0.666971
23,-1.776987,0.628334,0.036427,1.5915,27.2013,0.6272,0.0365,0.793751,0.125927,0.837626,0.667823
24,-1.782341,0.628340,0.036235,1.5917,27.5819,0.6282,0.0366,0.795011,0.127871,0.844576,0.667141
25,-1.788225,0.629003,0.035984,1.5900,27.6029,0.6297,0.0361,0.794580,0.127517,0.845561,0.667062
26,-1.796555,0.628799,0.035697,1.5902,27.8721,0.6312,0.0359,0.794835,0.128481,0.827708,0.666354
27,-1.807224,0.627496,0.035391,1.5933,28.0924,0.6265,0.0355,0.795470,0.130099,0.822580,0.665371
28,-1.810535,0.628771,0.035204,1.5906,28.2609,0.6295,0.0352,0.794784,0.126566,0.850185,0.668219
29,-1.800740,0.628015,0.035593,1.5922,28.3117,0.6268,0.0355,0.794905,0.123575,0.846352,0.671330
30,-1.823676,0.628568,0.034752,1.5913,28.5518,0.6292,0.0349,0.794946,0.124210,0.838738,0.670736
31,-1.823382,0.628284,0.034782,1.5911,28.6155,0.6263,0.0348,0.794619,0.124569,0.844355,0.670049
32,-1.833441,0.627978,0.034450,1.5924,28.8803,0.6264,0.0346,0.795120,0.124147,0.843662,0.670973
33,-1.830409,0.628094,0.034549,1.5925,28.9768,0.6287,0.0346,0.794517,0.120841,0.856424,0.673676
34,-1.823690,0.628353,0.034766,1.5916,28.8719,0.6297,0.0347,0.794956,0.127457,0.861597,0.667499
35,-1.840323,0.627640,0.034231,1.5928,28.9607,0.6270,0.0343,0.794427,0.121914,0.851006,0.672513
36,-1.847945,0.628415,0.033930,1.5913,29.3473,0.6276,0.0341,0.794164,0.127888,0.855173,0.666276
37,-1.849693,0.627629,0.033914,1.5931,29.4377,0.6256,0.0340,0.794926,0.121195,0.860189,0.673730
38,-1.862152,0.627731,0.033487,1.5934,29.6960,0.6284,0.0338,0.794229,0.120545,0.855819,0.673684
39,-1.860564,0.628038,0.033525,1.5924,29.7970,0.6279,0.0337,0.794541,0.125725,0.823919,0.668817
40,-1.866180,0.627444,0.033369,1.5936,29.7814,0.6278,0.0334,0.795087,0.122261,0.847904,0.672825
41,-1.871855,0.628370,0.033131,1.5922,30.0284,0.6299,0.0332,0.793968,0.117252,0.856160,0.676717
42,-1.868845,0.627568,0.033274,1.5928,30.1213,0.6279,0.0332,0.794810,0.120905,0.845848,0.673905
43,-1.895239,0.628135,0.032374,1.5924,30.4378,0.6287,0.0326,0.795783,0.118455,0.859313,0.677328
