epoch,train_loss,val_miou,enc_lr,dec_lr
1,0.871321,0.758312,5.932458e-06,5.932458e-05
1,1.105332,0.600727,5.932458e-06,5.932458e-05
2,0.697774,0.747512,5.864830e-06,5.864830e-05
3,0.655359,0.765323,5.797115e-06,5.797115e-05
4,0.640611,0.769077,5.729312e-06,5.729312e-05
5,0.634075,0.774955,5.661420e-06,5.661420e-05
6,0.628779,0.776671,5.593438e-06,5.593438e-05
7,0.626074,0.779713,5.525363e-06,5.525363e-05
8,0.625008,0.781720,5.457195e-06,5.457195e-05
9,0.621849,0.781890,5.388933e-06,5.388933e-05
10,0.619773,0.784047,5.320574e-06,5.320574e-05
11,0.618646,0.785343,5.252118e-06,5.252118e-05
12,0.618063,0.785034,5.183562e-06,5.183562e-05
13,0.616994,0.787270,5.114905e-06,5.114905e-05
14,0.615701,0.786890,5.046146e-06,5.046146e-05
15,0.615521,0.787619,4.977282e-06,4.977282e-05
16,0.614141,0.788400,4.908313e-06,4.908313e-05
17,0.613442,0.788364,4.839235e-06,4.839235e-05
18,0.612924,0.788385,4.770048e-06,4.770048e-05
19,0.612519,0.789197,4.700750e-06,4.700750e-05
20,0.611110,0.789110,4.631337e-06,4.631337e-05
21,0.611211,0.789461,4.561809e-06,4.561809e-05
22,0.610530,0.789884,4.492162e-06,4.492162e-05
23,0.610435,0.790493,4.422396e-06,4.422396e-05
24,0.610822,0.790077,4.352507e-06,4.352507e-05
25,0.609693,0.790588,4.282493e-06,4.282493e-05
26,0.608728,0.791214,4.212352e-06,4.212352e-05
27,0.609010,0.791375,4.142081e-06,4.142081e-05
28,0.608782,0.791516,4.071677e-06,4.071677e-05
29,0.608678,0.791548,4.001137e-06,4.001137e-05
30,0.608677,0.792530,3.930459e-06,3.930459e-05
31,0.607908,0.792089,3.859639e-06,3.859639e-05
32,0.607669,0.792648,3.788675e-06,3.788675e-05
33,0.606915,0.791810,3.717563e-06,3.717563e-05
34,0.607104,0.792630,3.646299e-06,3.646299e-05
35,0.607263,0.793078,3.574880e-06,3.574880e-05
36,0.606419,0.793285,3.503303e-06,3.503303e-05
37,0.606827,0.793776,3.431562e-06,3.431562e-05
38,0.606708,0.793961,3.359655e-06,3.359655e-05
39,0.606892,0.793271,3.287575e-06,3.287575e-05
40,0.606225,0.793303,3.215320e-06,3.215320e-05
41,0.606375,0.793754,3.142884e-06,3.142884e-05
42,0.606059,0.793313,3.070262e-06,3.070262e-05
43,0.605560,0.793615,2.997449e-06,2.997449e-05
44,0.605150,0.794450,2.924439e-06,2.924439e-05
45,0.604934,0.794142,2.851225e-06,2.851225e-05
46,0.604403,0.794648,2.777802e-06,2.777802e-05
47,0.604771,0.795196,2.704163e-06,2.704163e-05
48,0.605194,0.794606,2.630300e-06,2.630300e-05
49,0.604561,0.794689,2.556206e-06,2.556206e-05
50,0.605298,0.794903,2.481872e-06,2.481872e-05
51,0.604773,0.795749,2.407290e-06,2.407290e-05
52,0.603538,0.794762,2.332451e-06,2.332451e-05
53,0.604364,0.795043,2.257343e-06,2.257343e-05
54,0.604750,0.794578,2.181957e-06,2.181957e-05
55,0.604872,0.795155,2.106281e-06,2.106281e-05
56,0.604298,0.795062,2.030301e-06,2.030301e-05
57,0.603958,0.795763,1.954003e-06,1.954003e-05
58,0.604063,0.795364,1.877373e-06,1.877373e-05
59,0.603486,0.795328,1.800394e-06,1.800394e-05
60,0.604646,0.795556,1.723048e-06,1.723048e-05
61,0.603805,0.795566,1.645313e-06,1.645313e-05
62,0.604110,0.795788,1.567168e-06,1.567168e-05
63,0.603825,0.795731,1.488587e-06,1.488587e-05
64,0.604056,0.795437,1.409543e-06,1.409543e-05
65,0.603606,0.795609,1.330002e-06,1.330002e-05
66,0.603715,0.796004,1.249929e-06,1.249929e-05
67,0.604544,0.795668,1.169282e-06,1.169282e-05
68,0.603666,0.795653,1.088011e-06,1.088011e-05
69,0.603264,0.796856,1.006060e-06,1.006060e-05
70,0.603696,0.796299,9.233583e-07,9.233583e-06
71,0.603542,0.796026,8.398245e-07,8.398245e-06
72,0.603049,0.796313,7.553552e-07,7.553552e-06
73,0.602529,0.796488,6.698206e-07,6.698206e-06
74,0.603772,0.796210,5.830508e-07,5.830508e-06
75,0.604020,0.796072,4.948155e-07,4.948155e-06
76,0.602703,0.795990,4.047849e-07,4.047849e-06
77,0.602725,0.796321,3.124492e-07,3.124492e-06
78,0.603194,0.796458,2.169188e-07,2.169188e-06
79,0.602757,0.796663,1.162439e-07,1.162439e-06
80,0.603164,0.796396,1.000000e-07,1.000000e-07
